gene	dn	ds
SAR0001	  0.00056962	  0.02234556
SAR0010	  0.00688526	  0.07474090
SAR0113	  0.00243721	  0.02693345
SAR1069	  0.00169834	  0.03209835
SAR1070	  0.00005429	  0.01652796
SAR1071	  0.00618359	  0.01020947
SAR1072	  0.00149319	  0.02982505
SAR1073	  0.00047626	  0.03780658
SAR1074	  0.00146746	  0.04655466
SAR1075	  0.00018818	  0.01150461
SAR1076	  0.00268133	  0.03931198
SAR1077	  0.00381188	  0.04412831
SAR1078	  0.00724474	  0.01776302
SAR0114	  0.04440528	  0.04450389
SAR1079	  0.00106174	  0.03507427
SAR1080	  0.00297593	  0.03147465
SAR1081	  0.01490739	  0.11175828
SAR1082	  0.00388492	  0.00483980
SAR1083	  0.00052020	  0.02402309
SAR1084	  0.00015038	  0.04718825
SAR1085	  0.00055119	  0.01629140
SAR1086	  0.00260447	  0.01117915
SAR1087	  0.00046647	  0.03263189
SAR1088	  0.00085297	  0.02622113
SAR0115	  0.00242927	  0.01486213
SAR1089	  0.00021865	  0.02846217
SAR1090	  0.00106696	  0.01046163
SAR1091	  0.00190024	  0.02817290
SAR1092	  0.00314098	  0.01649629
SAR1093	  0.00141521	  0.04647188
SAR1094	  0.00513509	  0.03753003
SAR1095	  0.00000000	  0.01432330
SAR1096	  0.00153793	  0.03081469
SAR1097	  0.00161519	  0.02679561
SAR1098	  0.00015261	  0.00523025
SAR0116	  0.00667652	  0.10100160
SAR1099	  0.00647973	  0.02717175
SAR1100	  0.00120687	  0.00735736
SAR1101	  0.00000000	  0.00196362
SAR1102	  0.00728967	  0.04406263
SAR1103	  0.01655246	  0.05575440
SAR1104	  0.00599545	  0.06009047
SAR1105	  0.00751916	  0.02887808
SAR1106	  0.00091081	  0.02125401
SAR1107	  0.00315090	  0.02417284
SAR1108	  0.00415581	  0.02367459
SAR0117	  0.00281358	  0.12219710
SAR1109	  0.00115625	  0.03340873
SAR1109a	  0.01579586	  0.03344275
SAR1110	  0.00215849	  0.03114825
SAR1111	  0.00048032	  0.02165448
SAR1112	  0.00385282	  0.04169420
SAR1113	  0.00818898	  0.06117666
SAR1114	  0.00203858	  0.01074820
SAR1115	  0.00428749	  0.00559496
SAR1116	  0.00228628	  0.01695095
SAR1117	  0.00209310	  0.03732740
SAR0118	  0.00129202	  0.01697394
SAR1118	  0.00039423	  0.02663077
SAR1119	  0.00207069	  0.05604077
SAR1120	  0.00020312	  0.01467853
SAR1121	  0.00074796	  0.03783268
SAR1122	  0.00248471	  0.05695027
SAR1123	  0.00168054	  0.04497189
SAR1124	  0.01069962	  0.07942798
SAR1125	  0.02955066	  0.13489033
SAR1126	  0.03670771	  0.06036146
SAR1127	  0.01001555	  0.05135311
SAR0119	  0.00041060	  0.00906664
SAR1129	  0.00282955	  0.10817572
SAR1130	  0.02106896	  0.15921346
SAR1138	  0.19925104	  0.22322702
SAR0120	  0.00086075	  0.03405057
SAR1141	  0.01267864	  0.11887187
SAR1142	  0.00125630	  0.03391914
SAR1143	  0.00202031	  0.02702088
SAR1144	  0.00114012	  0.03458298
SAR1146	  0.00680839	  0.03735596
SAR1147	  0.03363649	  0.19370800
SAR1148	  0.00045208	  0.00000000
SAR1150	  0.00018941	  0.03975884
SAR0121	  0.00642294	  0.02501974
SAR1151	  0.00378313	  0.02929162
SAR1152	  0.00016864	  0.02433987
SAR1153	  0.00561027	  0.02349370
SAR1154	  0.00000000	  0.00398850
SAR1155	  0.00061448	  0.02026396
SAR1156	  0.00030695	  0.00045780
SAR1157	  0.00095517	  0.02677514
SAR1158	  0.00088240	  0.02444770
SAR1159	  0.00136744	  0.03185567
SAR1160	  0.00760573	  0.02332947
SAR0122	  0.00276885	  0.03661624
SAR1161	  0.00068627	  0.01321900
SAR1162	  0.00004323	  0.01061585
SAR1163	  0.00421331	  0.02907513
SAR1164	  0.00125568	  0.00873528
SAR1165	  0.00025901	  0.00716567
SAR1166	  0.00338605	  0.01118553
SAR1167	  0.00422650	  0.01909675
SAR1168	  0.00017606	  0.00341791
SAR1169	  0.00222146	  0.05453090
SAR0011	  0.00442354	  0.02616153
